PERIOD,MONTH,NET_GENERATION
1,Jan 2001,332500.16
2,Feb 2001,282953.20
3,Mar 2001,300737.54
4,Apr 2001,278117.87
5,May 2001,300572.62
6,Jun 2001,327784.98
7,Jul 2001,357705.70
8,Aug 2001,370617.83
9,Sep 2001,306993.87
10,Oct 2001,294754.61
11,Nov 2001,278947.94
12,Dec 2001,305500.33
13,Jan 2002,319952.48
14,Feb 2002,281849.71
15,Mar 2002,302593.01
16,Apr 2002,289894.25
17,May 2002,307732.57
18,Jun 2002,341119.14
19,Jul 2002,381628.11
20,Aug 2002,374660.82
21,Sep 2002,331332.43
22,Oct 2002,307090.46
23,Nov 2002,296317.56
24,Dec 2002,324837.71
25,Jan 2003,342001.90
26,Feb 2003,299266.78
27,Mar 2003,304367.27
28,Apr 2003,285815.70
29,May 2003,307612.89
30,Jun 2003,328784.70
31,Jul 2003,374458.05
32,Aug 2003,381878.32
33,Sep 2003,323191.53
34,Oct 2003,306775.93
35,Nov 2003,297880.71
36,Dec 2003,331684.43
37,Jan 2004,346558.63
38,Feb 2004,314290.91
39,Mar 2004,308865.10
40,Apr 2004,290616.91
41,May 2004,327462.26
42,Jun 2004,345173.08
43,Jul 2004,377413.70
44,Aug 2004,368512.04
45,Sep 2004,335683.20
46,Oct 2004,312484.22
47,Nov 2004,302116.26
48,Dec 2004,341955.96
49,Jan 2005,343130.45
50,Feb 2005,298513.32
51,Mar 2005,317496.28
52,Apr 2005,289620.40
53,May 2005,315143.11
54,Jun 2005,363759.64
55,Jul 2005,402345.85
56,Aug 2005,405016.68
57,Sep 2005,350278.80
58,Oct 2005,316435.92
59,Nov 2005,306128.24
60,Dec 2005,348104.07
61,Jan 2006,328670.74
62,Feb 2006,307353.43
63,Mar 2006,318762.80
64,Apr 2006,297910.08
65,May 2006,330686.57
66,Jun 2006,364329.80
67,Jul 2006,410482.79
68,Aug 2006,407845.54
69,Sep 2006,332109.32
70,Oct 2006,321599.09
71,Nov 2006,309174.83
72,Dec 2006,336286.25
73,Jan 2007,353544.09
74,Feb 2007,323249.39
75,Mar 2007,320519.24
76,Apr 2007,303183.06
77,May 2007,330286.76
78,Jun 2007,362838.88
79,Jul 2007,393312.43
80,Aug 2007,421871.66
81,Sep 2007,355461.91
82,Oct 2007,332664.42
83,Nov 2007,314126.54
84,Dec 2007,346295.33
85,Jan 2008,363014.43
86,Feb 2008,325141.60
87,Mar 2008,324704.85
88,Apr 2008,305959.03
89,May 2008,325343.80
90,Jun 2008,373237.03
91,Jul 2008,403011.34
92,Aug 2008,389091.72
93,Sep 2008,338149.13
94,Oct 2008,318607.34
95,Nov 2008,310075.24
96,Dec 2008,343917.25
97,Jan 2009,354999.64
98,Feb 2009,300917.40
99,Mar 2009,310680.96
100,Apr 2009,289636.26
101,May 2009,311415.87
102,Jun 2009,347761.24
103,Jul 2009,372663.23
104,Aug 2009,381337.42
105,Sep 2009,327495.61
106,Oct 2009,307108.34
107,Nov 2009,296674.67
108,Dec 2009,350528.30
109,Jan 2010,360967.17
110,Feb 2010,319767.73
111,Mar 2010,312243.64
112,Apr 2010,287912.23
113,May 2010,328089.49
114,Jun 2010,375935.48
115,Jul 2010,409886.44
116,Aug 2010,409040.16
117,Sep 2010,346183.17
118,Oct 2010,307995.69
119,Nov 2010,306086.63
120,Dec 2010,362163.08
121,Jan 2011,362911.89
122,Feb 2011,313211.61
123,Mar 2011,318831.94
124,Apr 2011,302564.72
125,May 2011,323819.24
126,Jun 2011,367950.02
127,Jul 2011,418883.75
128,Aug 2011,406740.31
129,Sep 2011,338117.32
130,Oct 2011,308857.50
131,Nov 2011,304209.15
132,Dec 2011,335861.46
133,Jan 2012,339621.48
134,Feb 2012,309524.43
135,Mar 2012,309320.55
136,Apr 2012,295548.20
137,May 2012,336979.16
138,Jun 2012,361352.38
139,Jul 2012,415151.22
140,Aug 2012,396160.75
141,Sep 2012,335043.56
142,Oct 2012,312082.93
143,Nov 2012,306322.85
144,Dec 2012,334983.75
145,Jan 2013,349277.38
146,Feb 2013,310161.08
147,Mar 2013,326017.83
148,Apr 2013,299999.87
149,May 2013,322908.64
150,Jun 2013,357693.65
151,Jul 2013,395674.62
152,Aug 2013,386229.75
153,Sep 2013,341889.90
154,Oct 2013,315913.46
155,Nov 2013,315363.64
156,Dec 2013,353871.25
157,Jan 2014,378629.86
158,Feb 2014,325847.26
159,Mar 2014,334047.18
160,Apr 2014,300106.11
161,May 2014,327565.97
162,Jun 2014,360867.93
163,Jul 2014,388715.78
164,Aug 2014,387359.76
165,Sep 2014,342765.13
166,Oct 2014,317203.80
167,Nov 2014,319666.45
168,Dec 2014,339754.47
169,Jan 2015,362356.96
170,Feb 2015,336774.86
171,Mar 2015,327397.73
172,Apr 2015,297775.99
173,May 2015,325984.90
174,Jun 2015,366374.81
175,Jul 2015,404532.60
176,Aug 2015,396271.80
177,Sep 2015,353668.42
178,Oct 2015,315218.97
179,Nov 2015,303364.98
180,Dec 2015,326911.08
181,Jan 2016,355184.47
182,Feb 2016,317071.54
183,Mar 2016,308532.17
184,Apr 2016,297476.17
185,May 2016,322088.63
186,Jun 2016,373182.46
187,Jul 2016,417832.02
188,Aug 2016,415611.64
189,Sep 2016,356854.92
190,Oct 2016,317688.45
191,Nov 2016,301085.76
192,Dec 2016,348933.25
193,Jan 2017,347902.05
194,Feb 2017,295185.03
195,Mar 2017,325822.30
196,Apr 2017,302462.39
197,May 2017,331654.95
198,Jun 2017,367124.16
199,Jul 2017,412556.23
200,Aug 2017,392586.75
201,Sep 2017,343199.73
202,Oct 2017,325309.26
203,Nov 2017,312822.20
204,Dec 2017,354922.67
205,Jan 2018,378168.61
206,Feb 2018,312556.97
207,Mar 2018,329037.15
208,Apr 2018,309552.88
209,May 2018,348807.83
210,Jun 2018,382359.54
211,Jul 2018,421191.62
212,Aug 2018,417740.06
213,Sep 2018,364893.54
214,Oct 2018,332293.41
215,Nov 2018,328016.70
216,Dec 2018,347023.62
217,Jan 2019,363314.68
218,Feb 2019,319568.69
219,Mar 2019,332610.53
220,Apr 2019,304665.40
221,May 2019,339018.36
222,Jun 2019,362982.87
223,Jul 2019,423556.71
224,Aug 2019,413175.37
225,Sep 2019,369512.92
226,Oct 2019,330846.00
227,Nov 2019,323280.21
228,Dec 2019,342793.67
229,Jan 2020,346168.56
230,Feb 2020,325194.93
231,Mar 2020,315501.75
232,Apr 2020,286686.63